tp_pt,pt_br
jaraguá,jaraguá
kaapytuna,mata_escura
kaapuera,silva_de_belém
itaépe,taepe
akaiutebiróretãme,baia_da_traição
akaiutebiró,akajutibiro
tambáapytera,alto_do_tambá
mbytakatu,bem_fica
karaíba,bento
kumarũ,cumaru
ybytyratã,forte
kaaupaba,lagoa_do_mato
ybatyba,laranjeiras
kunhãngaraíba,santa_rita
akauãapytera,são_francisco
apyabebé,são_miguel
kaaeté,silva
uipeguera,tracoeira
ybykuapabapupé,marcação
apekũmirĩ,brejinho
tapyaguera,caieiras
kamurupĩ,camurupim
ytuporanga,carneira
inaiaguasumirĩ,coqueirinho
pepuera,estiva_velha
kurubyuna,grupiuna
candidokurubyuna,grupiuna_dos_cândido
jacarédecesarý,jacaré_de_cesar
domingojacarey,jacaré_de_são_domingos
upabusu,lagoa_grande
jaramataia,tramataia
mosapyry,três_rios
yrapé,val
ybykuara,ybykuara
abá,ser_humano
apyaba,homem
kunhã,mulher
sakuãibae,macho
kunhã,fêmea
tayra,filhote
guyrasapukaiasakuãibae,galo
guyrasapukaiakunhã,galinha
tupia,ovo
baka,vaca
tapiira,vaca
mboi,boi
kabaru,cavalo
purua,feto
pitangĩ,bebê
pitanga,criança
kunumĩ,menino
kunumiguasu,jovem
kunumiguasuaba,jovem
kakuaba,adulto
tuibae,ancião
guaibĩ,anciã
kunhataĩ,menina
kunhãmuku,moça
kunhãmukupuara,mulher
kunhãpurua,mulher_grávida
ygabebé,avião
bebesara,avião
itaguyrá,avião
guyraguasu,avião
pararãkoia,bicicleta
ygara,canoa
moruru,carro
moreru,carro
ieremyia,moto
motú,moto
ygarusu,navio
terẽguasu,trem
úbi,uber
uru,veículo
amyipaguama,avós
amỹia,avô
aryĩa,avó
uba,pai
sy,mãe
mena,marido
emirekó,esposa
membyra,filho_ou_filha_de_mulher
ayra,filho_de_homem
aiyra,filha_de_homem
emiminõ,neto
ayretá,descendentes
kunhayba,namorada
abayba,namorado
taixó,sogra_de_homem
mendy,sogra_de_mulher
atuuba,sogro_de_homem
menduba,sogro_de_mulher
ykeyra,irmão_mais_velho_de_homem
ybyra,irmão_mais_novo_de_homem
endyra,irmã_de_homem
kybyra,irmão_de_mulher
pykyyra,irmã_mais_nova_de_mulher
ykera,irmã_mais_velha_de_mulher
anama,parente_em_geral
mũ,parente_consanguíneo
okyguara,parente_de_casa
atuasaba,compadre_ou_comadre
iybaguyra,axila
tendybaaba,barba
tygué,barriga
amby,barriga_parte_inferior
iuru,boca
tobapé,bochecha
tetobapé,bochecha
iybá,braço
kuara,buraco
pytá,calcanhar
aputuuma,cérebro
nhyã,coração
teté,corpo
kupé,costas
atukupé,costas
aseia,costas
uba,coxa
puã,dedo_da_mão
pysã,dedo_do_pé
tobakuruba,espinha_do_rosto
tobá,face_rosto
aseoka,garganta
tendypyã,joelho
apekú,língua
pó,mão
aka,chifre
kamby,leite_materno
anga,espírito_alma
tekoaibuguy,menstruação
ekatuaba,mão_direita
asu,mão_esquerda
tebira,nádegas
tĩ,nariz
tesá,olho
atyyba,ombro
nambi,orelha
apysá,ouvido
tymãoo,panturrilha
py,pé
potia,peito
takuãia,pênis
tetymã,perna
aiura,pescoço
nhyãbebuia,pulmão
papy,pulso
tesaiyra,pupila
kama,seio
sybá,testa
pynhuãkanga,tornozelo
puruã,umbigo
tapupira,vagina
kuara,vagina
tuaia,rabo_cauda
tendy,saliva
tuguy,sangue
tayra,sêmen
kaneõ,cansaço
tĩo,congestão_nasal
pireỹia,coceira_de_pele
teikuaruguy,diarreia
tasy,dor
akangasy,dor_de_cabeça
aseokasy,dor_de_garganta
tooasy,dor_muscular
teteasy,dor_no_corpo
tesaasy,dor_nos_olhos
akanunduka,febre
takuba,febre
pueraia,fadiga
mbaeupotareyma,falta_de_apetite
mbaeuseieyma,falta_de_apetite
membeka,fraqueza
tatãeyma,fraqueza
piraíba,mancha_de_pele
piraipiranga,mancha_vermelha_de_pele
tekoaiba,mal_estar
tĩy,secreção_nasal
uutininga,tosse_seca
gueena,vômito
mbeiu,beiju
miapeatã,biscoito
miapé,bolo
cafery,café
kaary,chá
seẽbae,doce
kaaposanga,ervas_medicinais
mandiokui,farinha_de_mandioca
mandioka,mandioca
macaxeira,macaxeira
aipiĩ,macaxeira
mingau,mingau
kyynha,pimenta
pipoka,pipoca
mindypirõ,pirão
iukyra,sal
typuera,suco
tapioka,tapioca
kaui,vinho
kapixaba,agricultor
tatamonguepara,bombeiro
nheengasara,cantor
tekokuapareté,cientista
kuatiasara,escritor
mbyapuá,jogador
moroposanongara,médico
mokokara,motorista
nheengasara,músico
maenandara,vigilante
ieporakasara,pescador
moromboesara,professor
marãtekoara,trabalhador
porabykyara,trabalhador
moromboesarusu,gestor
moropytyboana,secretário
mongaturondara,coordenador
miumoiypara,cozinheiro
miuaposara,merendeiro
mimboeraroana,inspetor
amynyiu,algodão
patuá,balaio
akangaoba,chapéu
itasyra,enxada
maniyba,maniva
iykuara,machado
potyra,flor
ybotyra,flor_de_planta
kysé,faca
kó,roçado
kopira,roçado
kopixaba,roçado
taynha,semente
akangaoba,chapeu
arapuka,armadilha
mundé,armadilha
koty,armadilha
taiupara,abrigo
sama,corda
tupiara,cão
ybyrapokaba,espingarda
kyseguasu,facão
tataguasu,fogueira
ybyraangaba,mapa
mbaeteguama,veneno
tatapynha,carvão
tatapynhapyara,carvoeiro
potyrõ,mutirão
jepeaba,lenha
ybyrá,madeira
ybyrakytiaba,serra
nhemosaraia,brincadeira
nhemosarai,brincar
ierepa,ciranda
nhemima,esconde_esconde
peteka,peteca
sekobé,seõ
samberereka,pular_corda
kaitaba,queimada
tatapeguaba,abanador
akangupaba,almofada
puãmbora,anel
ybyrapara,arco
tembeposanga,batom
aió,bolsa
taagaba,boneco
ybyrapema,borduna
nambypora,brinco
nambypaia,brinco_de_pêndulo
akangaoba,chapéu
akangatara,cocar
karanaybakangatara,cocar_de_palha
pepoakangatara,cocar_de_pena_de_asa
sakangatara,cocar_de_penas_miudas
poyra,colar
sama,corda
posanga,cosméticos
ieguakaba,enfeite
upaba,esteira
mosausuporanga,filtro_dos_sonhos
mimby,flauta
uuba,flecha
maraká,maracá
nhaẽpepó,panela_de_barro
kamusi,peça_de_louça
unguá,pilão
unguáobaiara,pilão_socador
kaaokendaba,porta_de_palha
nhaẽ,prato_de_barro
