tp_pt,pt_br
aikuab,conhecer
kuab,conhecer
aimongetá,conversar
mongetá,conversar
aixoo,convidar
xoo,convidar
anhan,correr
nhan,correr
anonhen,corrigir
snonhena,corrigir
nonhen,corrigir
aikytĩ,cortar
kytĩ,cortar
aimondok,cortei
mondok,cortei
